,Title,Average Rating,Director,Writer,Metascore,Cast,Release Date,Country of Origin,Languages,Budget,Worldwide Gross,Runtime
201,10 Things I Hate About You,7.3,Gil Junger,"Karen McCullah, Kirsten Smith, William Shakespeare",70.0,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan, Susan May Pratt, Gabrielle Union, Larry Miller, Daryl Mitchell, Allison Janney, David Leisure, Greg Jackson, Kyle Cease, Terence Heuston, Cameron Fraser, Eric Riedmann, Quinn Maixner","July 5, 2018 (India)",United States,"English, French","$30,000,000 (estimated)","$53,686,594",1 hour 37 minutes
202,Paddington,7.3,Paul King,"Paul King, Hamish McColl, Michael Bond",77.0,"Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Tim Downie, Madeleine Worrall, Lottie Steer, Geoffrey Palmer, Theresa Watson, Imelda Staunton, Michael Gambon, Ben Whishaw, Madeleine Harris, Samuel Joslin, Michael Bond, Matt Lucas, Jude Wright, Kayvan Novak","July 10, 2017 (India)","United Kingdom, France","English, Mandarin, Spanish","$55,000,000 (estimated)","$318,693,148",1 hour 35 minutes
203,Doctor Sleep,7.3,Mike Flanagan,"Mike Flanagan, Stephen King",59.0,"Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis, Zahn McClarnon, Emily Alyn Lind, Selena Anduze, Robert Longstreet, Carel Struycken, Katie Parker, Jamie Flanagan, Met Clark, Zackary Momoh, Jocelin Donahue, Dakota Hickman, Carl Lumbly, Henry Thomas, Bruce Greenwood","November 8, 2019 (India)","Canada, United States","English, Persian","$45,000,000 (estimated)","$72,385,286",2 hours 32 minutes
204,The Lincoln Lawyer,7.3,Brad Furman,"John Romano, Michael Connelly",63.0,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy, Josh Lucas, John Leguizamo, Michael Peña, Bob Gunton, Frances Fisher, Bryan Cranston, Trace Adkins, Laurence Mason, Margarita Levieva, Pell James, Shea Whigham, Kate Moennig, Michael Paré, Michaela Conlin","April 13, 2017 (India)",United States,English,"$40,000,000 (estimated)","$86,752,352",1 hour 58 minutes
205,Hoodlum,7.3,Joseph H. Lewis,Philip Yordan,,"Cornel Wilde, Richard Conte, Jean Wallace, Brian Donlevy, Robert Middleton, Lee Van Cleef, Earl Holliman, Helen Walker, Jay Adler, John Hoyt, Ted de Corsia, Helene Stanton, Roy Gordon, Whit Bissell, Steve Mitchell, Baynes Barron, James McCallion, Tony Michaels","February 13, 1955 (United States)",United States,"English, Swedish, Latin, German","$500,000 (estimated)",,1 hour 27 minutes
206,Starship Troopers,7.3,Paul Verhoeven,"Edward Neumeier, Robert A. Heinlein",52.0,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey, Neil Patrick Harris, Clancy Brown, Seth Gilliam, Patrick Muldoon, Michael Ironside, Rue McClanahan, Marshall Bell, Eric Bruskotter, Matt Levin, Blake Lindsley, Anthony Ruivivar, Brenda Strong, Dean Norris, Christopher Curry","May 2, 1998 (India)",United States,English,"$105,000,000 (estimated)","$121,214,377",2 hours 9 minutes
207,Irréversible,7.3,Gaspar Noé,Gaspar Noé,51.0,"Monica Bellucci, Vincent Cassel, Albert Dupontel, Philippe Nahon, Jo Prestia, Stéphane Drouot, Jean-Louis Costes, Mick Gondouin, Mourad Khima, Layde Hellal, Dominique Nato, Michel Fesche, Victoria Jaramillo, Jean-Yves Le Quellec, Isabelle Giami, Fatima Adoum, Janice Foulaux, Stéphane Derdérian","May 22, 2002 (India)",France,"French, Spanish, Italian, English",,"$6,490,733",1 hour 37 minutes
208,Dogma,7.3,Kevin Smith,Kevin Smith,62.0,"Ben Affleck, Matt Damon, Linda Fiorentino, Bud Cort, Barret Hackney, Jared Pfennigwerth, Kitao Sakurai, George Carlin, Brian O'Halloran, Betty Aberlin, Dan Etheridge, Derek Milosavljevic, Lesley Braden, Marie Elena O'Brien, Janeane Garofalo, Bryan Johnson, Walter Flanagan, Jason Lee","November 12, 1999 (United States)",United States,"English, Spanish","$10,000,000 (estimated)","$31,430,896",2 hours 10 minutes
209,13 Hours,7.3,Michael Bay,"Chuck Hogan, Mitchell Zuckoff",48.0,"John Krasinski, Pablo Schreiber, James Badge Dale, David Denman, Dominic Fumusa, Max Martini, Alexia Barlier, David Costabile, Payman Maadi, Matt Letscher, Toby Stephens, Demetrius Grosse, David Giuntoli, Kevin Kent, David Furr, Mike Moriarty, Freddie Stroma, Kenny Sheard","March 4, 2016 (India)","United States, Malta","English, Arabic","$50,000,000 (estimated)","$69,411,370",2 hours 24 minutes
210,Sleepy Hollow,7.3,Tim Burton,"Washington Irving, Kevin Yagher, Andrew Kevin Walker",65.0,"Johnny Depp, Christina Ricci, Miranda Richardson, Michael Gambon, Casper Van Dien, Jeffrey Jones, Richard Griffiths, Ian McDiarmid, Michael Gough, Christopher Walken, Marc Pickering, Lisa Marie, Steven Waddington, Claire Skinner, Christopher Lee, Alun Armstrong, Mark Spalding, Jessica Oyelowo","July 14, 2000 (India)","United States, Germany, United Kingdom","English, Latin","$100,000,000 (estimated)","$206,071,526",1 hour 45 minutes
211,Point Break,7.3,Kathryn Bigelow,"Rick King, W. Peter Iliff",60.0,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty, John C. McGinley, James Le Gros, John Philbin, Bojesse Christopher, Julian Reyes, Daniel Beer, Chris Pedersen, Vincent Klyn, Anthony Kiedis, Dave Olson, Lee Tergesen, Sydney Walsh, Christopher Pettiet, Dino Andino","July 12, 1991 (United States)","Japan, United States",English,"$24,000,000 (estimated)","$83,531,958",2 hours 2 minutes
212,Sing 2,7.3,"Garth Jennings, Christophe Lourdelet",Garth Jennings,49.0,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Tori Kelly, Taron Egerton, Nick Kroll, Garth Jennings, Jennifer Saunders, Chelsea Peretti, Bobby Cannavale, Nick Offerman, Adam Buxton, Eric André, Halsey, Letitia Wright, Bono, Pharrell Williams, Julia Davis","December 31, 2021 (India)","United States, Japan, France",English,"$85,000,000 (estimated)","$408,402,685",1 hour 50 minutes
213,Monster,7.3,Patty Jenkins,Patty Jenkins,74.0,"Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen, Annie Corley, Pruitt Taylor Vince, Marco St. John, Marc Macaulay, Scott Wilson, Rus Blackwell, Tim Ware, Stephan Jones, Brett Rice, Kaitlin Riley, Cree Ivey, Catherine Mangan, Magdalena Manville, T. Robert Pigott","January 30, 2004 (United States)","Germany, United States",English,"$8,000,000 (estimated)","$58,469,210",1 hour 49 minutes
214,Split,7.3,M. Night Shyamalan,M. Night Shyamalan,63.0,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula, Betty Buckley, Izzie Coffey, Brad William Henke, Sebastian Arcelus, Neal Huff, Ukee Washington, Ann Wood, Robert Michael Kelly, M. Night Shyamalan, Rosemary Howard, Jerome Gallman, Lyne Renée, Kate Jacoby, Peter Patrikios","February 24, 2017 (India)","United States, Japan",English,"$9,000,000 (estimated)","$278,454,417",1 hour 57 minutes
215,Gremlins,7.3,Joe Dante,Chris Columbus,70.0,"Zach Galligan, Phoebe Cates, Hoyt Axton, John Louie, Keye Luke, Don Steele, Susan Burgess, Scott Brady, Arnie Moore, Corey Feldman, Harry Carey Jr., Dick Miller, Polly Holliday, Donald Elson, Belinda Balaski, Danny Llewelyn, Edward Andrews, Judge Reinhold","August 29, 1985 (India)",United States,"English, Spanish","$11,000,000 (estimated)","$153,908,485",1 hour 46 minutes
216,Take Shelter,7.3,Jeff Nichols,Jeff Nichols,85.0,"Michael Shannon, Jessica Chastain, Shea Whigham, Tova Stewart, Katy Mixon Greer, Natasha Randall, Ron Kennard, Scott Knisley, Robert Longstreet, Heather Caldwell, Sheila Hullihen, John Kloock, Marianna Alacchi, Jacque Jovic, Bob Maines, Charles Moore, Pete Ferry, Molly McGinnis","November 10, 2011 (Croatia)",United States,English,"$5,000,000 (estimated)","$3,741,098",2 hours 1 minute
217,Clue,7.3,Jonathan Lynn,"John Landis, Jonathan Lynn, Anthony E. Pratt",41.0,"Eileen Brennan, Tim Curry, Madeline Kahn, Christopher Lloyd, Michael McKean, Martin Mull, Lesley Ann Warren, Colleen Camp, Lee Ving, Bill Henderson, Jane Wiedlin, Jeffrey Kramer, Kellye Nakahara, Will Nye, Rick Goldman, Don Camp, Howard Hesseman","December 13, 1985 (United States)",United States,"English, French","$15,000,000 (estimated)","$14,645,902",1 hour 34 minutes
218,Wonder Woman,7.3,Patty Jenkins,"Allan Heinberg, Zack Snyder, Jason Fuchs",76.0,"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis, Connie Nielsen, Danny Huston, David Thewlis, Saïd Taghmaoui, Ewen Bremner, Eugene Brave Rock, Elena Anaya, Lilly Aspell, Lisa Loven Kongsli, Ann Wolfe, Ann Ogbomo, Emily Carey, James Cosmo, Wolf Kahler","June 2, 2017 (India)","United States, China, Hong Kong","English, German, Dutch, Flemish, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian","$149,000,000 (estimated)","$823,970,682",2 hours 21 minutes
219,Flight,7.3,Robert Zemeckis,John Gatins,76.0,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman, Carter Cabassa, Adam C. Edwards, Tamara Tunie, Brian Geraghty, Kelly Reilly, Conor O'Neill, Charlie E. Schmidt, Will Sherrod, Boni Yanagisawa, Adam Tomei, Dane Davenport, John Crow, Bruce Greenwood, E. Roger Mitchell","March 1, 2013 (India)","United States, United Arab Emirates",English,"$31,000,000 (estimated)","$161,772,375",2 hours 18 minutes
220,American Sniper,7.3,Clint Eastwood,"Jason Hall, Chris Kyle, Scott McEwen",73.0,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis, Ben Reed, Elise Robertson, Luke Sunshine, Troy Vincent, Brandon Salgado Telis, Keir O'Donnell, Marnette Patterson, Jason Hall, Billy Miller, Leonard Roberts, Jason Walsh, Reynaldo Gallegos, Kevin Lacz, Jake McDorman","January 16, 2015 (India)",United States,"English, Arabic","$58,800,000 (estimated)","$547,659,020",2 hours 13 minutes
221,"Girl, Interrupted",7.3,James Mangold,"Susanna Kaysen, James Mangold, Lisa Loomer",51.0,"Winona Ryder, Angelina Jolie, Clea DuVall, Brittany Murphy, Elisabeth Moss, Jared Leto, Jeffrey Tambor, Vanessa Redgrave, Whoopi Goldberg, Angela Bettis, Jillian Armenante, Drucie McDaniel, Alison Claire, Christina Myers, Joanna Kerns, Travis Fine, Gloria Barnhart, Josie Gammell","March 30, 2000 (India)","United States, Germany",English,"$40,000,000 (estimated)","$48,350,205",2 hours 7 minutes
222,Possession,7.3,Andrzej Zulawski,"Andrzej Zulawski, Frederic Tuten",75.0,"Isabelle Adjani, Sam Neill, Margit Carstensen, Heinz Bennent, Johanna Hofer, Carl Duering, Shaun Lawton, Michael Hogben, Maximilian Rüthlein, Thomas Frey, Leslie Malton, Gerd Neubert, Kerstin Wohlfahrt, Ilse Bahrs, Karin Mumm, Herbert Chwoika, Barbara Stanek, Ilse Trautschold","May 27, 1981 (France)","France, West Germany","English, French, German",,"$1,164,496",2 hours 4 minutes
223,Black Panther,7.3,Ryan Coogler,"Ryan Coogler, Joe Robert Cole, Stan Lee",88.0,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Nabiyah Be, Isaach De Bankolé, Connie Chiume","February 16, 2018 (India)",United States,"English, Swahili, Nama, Xhosa, Korean","$200,000,000 (estimated)","$1,349,926,083",2 hours 14 minutes
224,The King,7.3,David Michôd,"David Michôd, Joel Edgerton",62.0,"Tom Glynn-Carney, Gábor Czap, Tom Fisher, Edward Ashley, Steven Elder, Stephen Fewell, Sean Harris, Ivan Kaye, Tom Lawrence, Ben Mendelsohn, Timothée Chalamet, Joel Edgerton, Josef Davies, Roderick Hill, Niké Kurta, Andrew Havill, Dean-Charles Chapman, Nick Wittman","November 1, 2019 (India)","United Kingdom, Hungary, United States, Australia","English, French, Latin","$23,000,000 (estimated)","$126,931",2 hours 20 minutes
225,Elvis,7.3,Baz Luhrmann,"Baz Luhrmann, Sam Bromell, Craig Pearce",64.0,"Tom Hanks, Austin Butler, Olivia DeJonge, Helen Thomson, Richard Roxburgh, Kelvin Harrison Jr., David Wenham, Kodi Smit-McPhee, Luke Bracey, Dacre Montgomery, Leon Ford, Gary Clark Jr., Yola, Natasha Bassett, Xavier Samuel, Adam Dunn, Alton Mason, Shonka Dukureh","June 24, 2022 (India)","United States, Australia",English,"$85,000,000 (estimated)","$288,670,284",2 hours 39 minutes
226,Cape Fear,7.3,Martin Scorsese,"John D. MacDonald, James R. Webb, Wesley Strick",73.0,"Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis, Joe Don Baker, Robert Mitchum, Gregory Peck, Martin Balsam, Illeana Douglas, Fred Thompson, Zully Montero, Craig Henne, Forest Burton, Edgar Allan Poe IV, Rod Ball, W. Paul Bodie, Joel Kolker, Antoni Corone","November 15, 1991 (United States)",United States,English,"$35,000,000 (estimated)","$182,291,969",2 hours 8 minutes
227,Maze,7.3,Jim Henson,"Dennis Lee, Jim Henson, Terry Jones",50.0,"David Bowie, Jennifer Connelly, Toby Froud, Shelley Thompson, Christopher Malcolm, Natalie Finland, Shari Weiser, Brian Henson, Ron Mueck, Rob Mills, Dave Goelz, David Alan Barclay, David Shaughnessy, Karen Prell, Timothy Bateson, Frank Oz, Michael Hordern, Denise Bryer","June 27, 1986 (United States)","United Kingdom, United States",English,"$25,000,000 (estimated)","$14,699,654",1 hour 41 minutes
228,Dumb and Dumber,7.3,"Peter Farrelly, Bobby Farrelly","Peter Farrelly, Bennett Yellin, Bobby Farrelly",41.0,"Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr, Karen Duffy, Charles Rocket, Victoria Rowell, Joe Baker, Hank Brandt, Teri Garr, Brady Bluhm, Cam Neely, Felton Perry, Brad Lockerman, Rob Moran, Kathryn Frick, Zen Gesner, Lawrence Kopp","July 13, 1995 (India)",United States,"English, Swedish, German","$17,000,000 (estimated)","$247,290,327",1 hour 47 minutes
229,Excalibur,7.3,John Boorman,"Thomas Malory, Rospo Pallenberg, John Boorman",56.0,"Nigel Terry, Helen Mirren, Nicholas Clay, Cherie Lunghi, Paul Geoffrey, Nicol Williamson, Robert Addie, Gabriel Byrne, Keith Buckley, Katrine Boorman, Liam Neeson, Corin Redgrave, Niall O'Brien, Patrick Stewart, Clive Swift, Ciarán Hinds, Liam O'Callaghan, Michael Muldoon","April 10, 1981 (United States)","United Kingdom, United States",English,"$11,000,000 (estimated)","$34,971,136",2 hours 20 minutes
230,Hercules,7.3,"Ron Clements, John Musker","Ron Clements, John Musker, Don McEnery",74.0,"Tate Donovan, Susan Egan, James Woods, Barbara Barrie, Roger Bart, Mary Kay Bergman, Corey Burton, Danny DeVito, Jim Cummings, Keith David, Paddi Edwards, Samantha Eggar, Cheryl Freeman, Kathleen Freeman, Matt Frewer, Amanda Plummer, Bobcat Goldthwait, Bug Hall","June 27, 1997 (United States)",United States,"English, Spanish, Greek","$85,000,000 (estimated)","$252,712,101",1 hour 33 minutes
231,Avengers: Age of Ultron,7.3,Joss Whedon,"Joss Whedon, Stan Lee, Jack Kirby",66.0,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, James Spader, Samuel L. Jackson, Don Cheadle, Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders, Anthony Mackie, Hayley Atwell, Idris Elba, Linda Cardellini, Stellan Skarsgård","April 24, 2015 (India)",United States,"English, Korean","$250,000,000 (estimated)","$1,405,018,048",2 hours 21 minutes
232,Poltergeist,7.3,Tobe Hooper,"Steven Spielberg, Michael Grais, Mark Victor",79.0,"JoBeth Williams, Heather O'Rourke, Craig T. Nelson, Beatrice Straight, Dominique Dunne, Oliver Robins, Michael McManus, Virginia Kiser, Martin Casella, Richard Lawson, Zelda Rubinstein, James Karen, Lou Perryman, Clair E. Leucart, Dirk Blocker, Allan Graf, Joseph Walsh, Helen Baron","June 4, 1982 (United States)",United States,English,"$10,700,000 (estimated)","$77,233,131",1 hour 54 minutes
233,Men in Black,7.3,Barry Sonnenfeld,"Lowell Cunningham, Ed Solomon",72.0,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio, Rip Torn, Tony Shalhoub, Siobhan Fallon Hogan, Mike Nussbaum, Jon Gries, Sergio Calderón, Carel Struycken, Fredric Lehne, Richard Hamilton, Kent Faulcon, John Alexander, Keith Campbell, Ken Thorley, Patrick Breen","June 24, 2000 (India)",United States,"English, Spanish","$90,000,000 (estimated)","$589,390,539",1 hour 38 minutes
234,National Lampoon's Vacation,7.3,Harold Ramis,John Hughes,55.0,"Chevy Chase, Beverly D'Angelo, Imogene Coca, Randy Quaid, Anthony Michael Hall, Dana Barron, Eddie Bracken, Brian Doyle-Murray, Miriam Flynn, James Keach, Eugene Levy, Frank McRae, John Candy, Christie Brinkley, Jane Krakowski, John P. Navin Jr., Nathan Cook, Christopher Jackson","July 29, 1983 (United States)",United States,English,"$15,000,000 (estimated)","$61,418,362",1 hour 38 minutes
235,The Neverending Story,7.3,Wolfgang Petersen,"Wolfgang Petersen, Herman Weigel, Michael Ende",49.0,"Noah Hathaway, Barret Oliver, Tami Stronach, Gerald McRaney, Chris Eastman, Darryl Cooksey, Nicholas Gilbert, Thomas Hill, Deep Roy, Tilo Prückner, Moses Gunn, Sydney Bromley, Patricia Hayes, Beth Anderson, Donald Arthur, Willie Coppen, Bernd Eichinger, Dee Harris","July 20, 1984 (United States)","West Germany, United States",English,"$27,000,000 (estimated)","$20,288,595",1 hour 42 minutes
236,Cruella,7.3,Craig Gillespie,"Dana Fox, Tony McNamara, Aline Brosh McKenna",59.0,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, John McCrea, Emily Beecham, Mark Strong, Kayvan Novak, Kirby Howell-Baptiste, Jamie Demetriou, Niamh Lynch, Andrew Leung, Ed Birch, Dylan Lowe, Paul Bazely, Abraham Popoola, Leo Bill, Ninette Finch","May 26, 2021 (India)","United States, United Kingdom, Canada, Ireland","English, French","$100,000,000 (estimated)","$233,503,234",2 hours 14 minutes
237,The Secret Life of Walter Mitty,7.3,Ben Stiller,"Steve Conrad, James Thurber",54.0,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn, Terence Bernie Hines, Adam Scott, Paul Fitzgerald, Grace Rex, Alex Anfanger, Amanda Naughton, Adrian Martinez, Nolan Carley, Joey Slotnick, Shirley MacLaine, Gary Wilmes, Marcus Antturi, Amy Stiller, Rosamund Gundmundsdottir","January 3, 2014 (India)","United States, United Kingdom","English, Spanish, Icelandic","$90,000,000 (estimated)","$188,133,322",1 hour 54 minutes
238,The Accountant,7.3,Gavin O'Connor,Bill Dubuque,51.0,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal, Jeffrey Tambor, Cynthia Addai-Robinson, John Lithgow, Jean Smart, Andy Umberger, Alison Wright, Jason Davis, Robert C. Treveiler, Mary Kraft, Seth Lee, Jake Presley, Izzy Fenech, Ron Prather, Susan Savoie","October 14, 2016 (India)",United States,"English, Indonesian, French","$44,000,000 (estimated)","$155,560,045",2 hours 8 minutes
239,From Russia with Love,7.3,Terence Young,"Richard Maibaum, Johanna Harwood, Ian Fleming",83.0,"Sean Connery, Robert Shaw, Lotte Lenya, Daniela Bianchi, Pedro Armendáriz, Bernard Lee, Eunice Gayson, Walter Gotell, Francis De Wolff, George Pastell, Nadja Regin, Lois Maxwell, Aliza Gur, Martine Beswick, Vladek Sheybal, Anthony Dawson, Lisa Guiraut, Hasan Ceylan","May 27, 1964 (United States)","United Kingdom, United States","English, Russian, Turkish, French, Romany, Italian","$2,000,000 (estimated)","$24,811,445",1 hour 55 minutes
240,Lilo & Stitch,7.3,"Dean DeBlois, Chris Sanders","Chris Sanders, Dean DeBlois",74.0,"Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers, Kevin McDonald, Ving Rhames, Zoe Caldwell, Jason Scott Lee, Kevin Michael Richardson, Susan Hegarty, Amy Hill, Steve Alterman, Emily Anderson, Jack Angel, Bill Asing, Erica Beck, Bob Bergen, Steve Blum","June 16, 2002 (India)","United States, Japan","English, Hawaiian","$80,000,000 (estimated)","$273,147,061",1 hour 25 minutes
241,El Camino: A Breaking Bad Movie,7.3,Vince Gilligan,Vince Gilligan,72.0,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker, Todd Terry, Julie Pearl, Gregory Steven Soliz, Larry Hankin, Jesse Plemons, Tom Bower, Gloria Sandoval, Tess Harper, Michael Bofshever, Danielle Todesco, Scott MacArthur, Scott Shepherd, Marla Gibbs, Robert Forster","October 11, 2019 (India)",United States,"English, Spanish","$6,000,000 (estimated)",,2 hours 2 minutes
242,Jerry Maguire,7.3,Cameron Crowe,Cameron Crowe,77.0,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston, Jerry O'Connell, Jay Mohr, Bonnie Hunt, Regina King, Jonathan Lipnicki, Todd Louiso, Mark Pellington, Jeremy Suarez, Jared Jussim, Benjamin Kimball Smith, Ingrid Beer, Jann Wenner, Nada Despotovich, Alexandra Wentworth","March 26, 1997 (India)",United States,"English, American Sign Language","$50,000,000 (estimated)","$273,552,592",2 hours 19 minutes
243,The Shape of Water,7.3,Guillermo del Toro,"Guillermo del Toro, Vanessa Taylor",87.0,"Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones, Richard Jenkins, Michael Stuhlbarg, David Hewlett, Nick Searcy, Stewart Arnott, Nigel Bennett, Lauren Lee Smith, Martin Roach, Allegra Fulton, John Kapelos, Morgan Kelly, Marvin Kaye, Dru Viergever, Wendy Lyon","February 16, 2018 (India)","United States, Mexico","English, American Sign Language, Russian, French","$19,400,000 (estimated)","$195,243,464",2 hours 3 minutes
244,Before the Devil Knows You're Dead,7.3,Sidney Lumet,Kelly Masterson,86.0,"Philip Seymour Hoffman, Ethan Hawke, Albert Finney, Marisa Tomei, Aleksa Palladino, Michael Shannon, Amy Ryan, Sarah Livingston, Brían F. O'Byrne, Rosemary Harris, Blaine Horton, Arija Bareikis, Leonardo Cimino, Lee Wilkof, Damon Gupton, Adrian Martinez, Patrick G. Burns, Alice Spivak","October 26, 2007 (United States)",United States,English,"$18,000,000 (estimated)","$25,038,466",1 hour 57 minutes
245,Identity,7.3,James Mangold,Michael Cooney,64.0,"John Cusack, Ray Liotta, Amanda Peet, John Hawkes, Alfred Molina, Clea DuVall, John C. McGinley, William Lee Scott, Jake Busey, Pruitt Taylor Vince, Rebecca De Mornay, Carmen Argenziano, Marshall Bell, Leila Kenzle, Matt Letscher, Bret Loehr, Holmes Osborne, Frederick Coffin","April 25, 2003 (United States)",United States,English,"$28,000,000 (estimated)","$90,259,536",1 hour 30 minutes
